	non_symbiosis	symbiosis	MeanDecreaseAccuracy	MeanDecreaseGini
OG0011347	0.000225	0.00042803	0.00030935	0.029415769
OG0018140	8.96E-05	0.000427778	0.000234392	0.018024587
OG0001197	0.000211081	0.000426923	0.000296886	0.029079958
OG0000752	0.000489876	0.000423177	0.000458974	0.04599153
OG0010490	0.000598485	0.000421635	0.000502954	0.050317078
OG0016878	0.000409357	0.000419231	0.000397022	0.032715127
OG0000287	0.000396131	0.000416504	0.000397166	0.028012485
OG0007208	0.000448485	0.000416348	0.000436667	0.028393104
OG0006369	0.00031746	0.00041453	0.000356942	0.022630788
OG0015340	0.000318182	0.000414103	0.000354422	0.029209403
OG0013459	0.000331197	0.000410714	0.00034	0.020037265
OG0010032	0.000485714	0.00040873	0.000441272	0.022471427
OG0014408	0.000401261	0.000408009	0.000405876	0.030693554
OG0009813	0.000540385	0.000404429	0.000468362	0.026733401
OG0012079	0.000205556	0.000403846	0.00028022	0.022543498
OG0001378	0.000489744	0.000396825	0.000433405	0.030488838
OG0002524	0.000432633	0.000393627	0.000398371	0.033262176
OG0012197	7.14E-05	0.000392857	0.000194615	0.023581151
OG0016970	0.000370588	0.000390693	0.00037484	0.023510887
OG0004729	0.000761926	0.000389044	0.000581053	0.076900826
OG0016921	0.000620536	0.00038658	0.000499179	0.031086778
OG0011464	0.000374126	0.000385989	0.000373077	0.031695398
OG0014903	0.00076912	0.000380619	0.000592931	0.068444527
OG0000583	-3.52E-05	0.000379167	0.0001457	0.014821199
OG0001904	0.000253788	0.000378824	0.000307576	0.022744409
OG0016873	0.000285714	0.000375801	0.000325071	0.024375038
OG0010526	0.000357143	0.000375	0.000339394	0.009602523
OG0013452	0.000184211	0.000375	0.000283333	0.017498259
OG0014373	7.79E-05	0.000375	0.000204453	0.010622666
OG0005819	0.00037813	0.000374542	0.000369591	0.019179128
OG0013174	0.000485606	0.000374459	0.000417778	0.025709358
OG0001727	0.001146658	0.000371795	0.000721057	0.071358502
OG0010076	0.000615385	0.000370457	0.000487102	0.054721555
OG0000433	0.000151923	0.000368631	0.000256517	0.033860913
OG0011690	0.000154902	0.000368132	0.000232143	0.021864917
OG0000272	0.000114899	0.000365476	0.000245273	0.012997168
OG0011849	0.000392857	0.000365385	0.00037963	0.023053239
OG0008519	0.000305617	0.00036198	0.000269631	0.040989008
OG0014885	0.0001875	0.000358333	0.000266129	0.011936873
OG0000535	0.000548512	0.000358308	0.000439286	0.033664789
OG0014889	0.000451515	0.000354167	0.000388889	0.018717539
OG0040362	8.33E-05	0.000353846	0.000235385	0.010287614
OG0013178	0.000130952	0.000350649	0.000243132	0.020097461
OG0006575	0.000309524	0.000347527	0.000349053	0.018787834
OG0012199	0.000240476	0.000342657	0.000284188	0.023164588
OG0001554	0	0.000341667	0.000159259	0.003714286
OG0001024	0.000623888	0.000340385	0.000486215	0.026824488
OG0012706	0.000453247	0.000338828	0.000391578	0.026826836
OG0009735	0.000293956	0.000338384	0.000310952	0.032965926
OG0014088	0.000126068	0.000338384	0.000197998	0.011262118
OG0005598	0.000262121	0.000337704	0.000293488	0.036746768
OG0000771	7.50E-05	0.000337179	0.000191054	0.01440294
OG0016978	0.000394231	0.000335664	0.000363712	0.016288511
OG0014887	0.000261364	0.000333333	0.000293846	0.020346366
OG0014050	0.000166667	0.000329365	0.000245192	0.016401303
OG0008087	0.000464286	0.000328671	0.000402222	0.018323438
OG0010259	0.000285256	0.000326705	0.000308519	0.015585939
OG0014051	0.000142857	0.000325	0.000221572	0.01817899
OG0016992	0.000253846	0.000324675	0.000287356	0.016380306
OG0007162	0	0.000323864	0.000141447	0.019825126
OG0012347	0.000465035	0.000322917	0.000382275	0.016824481
OG0016905	0.000503497	0.000322222	0.00040035	0.020321063
OG0017969	0.000233333	0.000318182	0.000292308	0.012018793
OG0029321	0	0.000318182	0.000134615	0.000969697
OG0024188	9.55E-05	0.000315385	0.000223333	0.016463917
OG0016897	0.000188462	0.000314141	0.000240741	0.033178161
OG0010326	0.000216667	0.0003125	0.000235119	0.022005469
OG0000276	0.000396131	0.000308754	0.000349643	0.023193031
OG0014438	0.000129902	0.000308333	0.000207974	0.014275501
OG0000584	4.02E-05	0.00030754	0.000153191	0.024847709
OG0015355	0.00022549	0.000306818	0.000255291	0.016107261
OG0015983	6.67E-05	0.000303846	0.000173571	0.012267729
OG0001609	0.000399252	0.000302506	0.000341819	0.023211395
OG0012496	0.000472727	3.00E-04	0.000374126	0.023747307
OG0014422	0.00025	3.00E-04	0.000269231	0.009239143
OG0014063	0.000321429	0.000296703	0.000298611	0.023208853
OG0000148	0.000373054	0.000291782	0.000333561	0.024013673
OG0016009	0.000384804	0.000291667	0.000346264	0.020481263
OG0017940	3.13E-05	0.000291667	0.000145833	0.01020884
OG0014425	0	0.000291667	0.000126984	0.009632695
OG0012345	0.000266667	0.000290909	0.000276154	0.0250463
OG0003779	3.85E-05	0.000290909	0.000163462	0.01162351
OG0010632	0.00075	0.000290781	0.000474089	0.024234968
OG0000357	0.000209683	0.000290476	0.000262835	0.011676473
OG0000732	0	0.00029021	0.000140394	0.003673684
OG0007655	0.000306818	0.000288961	0.000297203	0.023691832
OG0000350	0.000253504	0.000287927	0.000265593	0.020214821
OG0000489	0.00034662	0.000285888	0.000290991	0.026261085
OG0014445	0.000192857	0.000282051	0.000243266	0.016675765
OG0000282	0.000150735	0.000282051	0.000208174	0.011996331
OG0003265	0.000310839	0.00028125	0.00029163	0.016482317
OG0011765	0.000266667	0.000278571	0.000274138	0.019272281
OG0004287	0	0.000277778	0.000108696	0.009991037
OG0006058	0.000133333	0.000276923	0.000219643	0.017632052
OG0000769	0.000268371	0.00027619	0.000256243	0.024010936
OG0016844	0.000208333	0.000275568	0.000251208	0.009237009
OG0018025	0	0.000272727	0.000103448	0.001790936
OG0000740	-1.98E-05	0.000272727	0.000107742	0.005810813
OG0014871	-3.57E-05	0.000272321	0.00011954	0.013759299
OG0010740	0.000185714	0.00027178	0.000224571	0.048077057
OG0001491	0	0.000271429	0.000121439	0.017164883
OG0010642	0.000249192	0.000270867	0.000232099	0.026008186
OG0013727	6.94E-05	0.000270833	0.000155449	0.019385181
OG0002999	0.000125	0.000269231	0.000189655	0.003214286
OG0016953	0.000353175	0.000268939	0.00032	0.020374223
OG0000511	0.000120321	0.000267857	0.000166179	0.024611661
OG0011848	0.000125	0.000264957	0.000196923	0.011517067
OG0000983	9.82E-05	0.000263889	0.000175385	0.003604762
OG0001147	0.000767735	0.000261489	0.000464027	0.057753024
OG0017985	0.000366071	0.000260989	0.000316667	0.025233012
OG0016948	0.000153846	0.000260989	0.000220539	0.019866702
OG0001187	0.000486763	0.000260504	0.000363802	0.030787779
OG0016910	0.000469697	0.000260424	0.000338064	0.029284399
OG0010370	0.000401442	0.000258242	0.000314398	0.020612947
OG0014420	0.000288961	0.000257576	0.000273913	0.021813491
OG0015997	0.000176471	0.000255952	0.000212067	0.020212393
OG0000919	3.85E-05	0.000253846	0.000151709	0.008591722
OG0010016	0.00011859	0.000253247	0.000182692	0.014860058
OG0001462	0.000283333	0.000251748	0.00026505	0.020875165
OG0013192	0.000287179	0.00025	0.000272174	0.020742267
OG0014387	0.000264706	0.00025	0.000258065	0.010385376
OG0013744	0.000176471	0.00025	0.000206897	0.008541972
OG0015968	0.000176471	0.00025	0.000203704	0.011140532
OG0014902	1.00E-04	0.00025	0.00016042	0.011237938
OG0012195	0	0.00025	8.33E-05	0.009618281
OG0001182	6.67E-05	0.000248413	0.000161897	0.007036652
OG0005476	0.000307475	0.000247378	0.000287646	0.041036012
OG0003079	9.72E-05	0.000244643	0.000180602	0.021819206
OG0014430	0.00025	0.000243506	0.000251429	0.022970425
OG0010816	0.001007767	0.000242857	0.000607441	0.060008908
OG0009635	0.000488095	0.000241467	0.00034835	0.030173724
OG0016929	0.000416667	0.000240385	0.000319746	0.023195715
OG0015347	0.000105128	0.000240385	0.00016388	0.016608451
OG0027782	0.000230769	0.000239583	0.000232414	0.017682611
OG0010777	0.000164912	0.000238462	0.000198071	0.023182189
OG0014060	0.000142857	0.000238095	0.000169643	0.022238435
OG0000194	0.000236012	0.000237325	0.000243834	0.020711879
OG0000384	0.000275801	0.000237179	0.000269643	0.031321578
OG0000042	0.000421728	0.000236694	0.000331011	0.030957735
OG0011976	0.000291667	0.000236607	0.000262366	0.018694714
OG0016819	0.000670673	0.00023631	0.00043233	0.04613755
OG0001676	7.14E-05	0.000236111	0.000147803	0.00550641
